loc,type,provider,estimate,RIN
2,T2,1.0,5.0,
2,T1,2.0,5.0,
3,T1,3.0,5.0,
3,T2,3.0,5.0,
3,T2,2.0,5.0,
3,T1,3.0,5.0,
3,T2,3.0,5.0,
3,T1,1.0,5.0,
3,T2,1.0,5.0,
3,T1,4.0,5.0,
3,T2,4.0,5.0,
5,T2,3.0,5.0,
5,T3,2.0,5.0,
5,T1,3.0,5.0,
5,T2,3.0,5.0,
5,T2,3.0,5.0,
5,T2,4.0,5.0,
5,T5,4.0,5.0,
6,B1,4.0,5.0,
6,B1,4.0,5.0,
6,B1,4.0,5.0,
6,B1,4.0,5.0,
6,T1,4.0,5.0,
6,T5,2.0,5.0,
8,T2,2.0,5.0,
8,T1,5.0,5.0,
11,T1,1.0,5.0,
11,T2,1.0,5.0,
15,B1,4.0,5.0,
15,T1,4.0,5.0,
15,B1,4.0,5.0,
15,T1,4.0,5.0,
15,T1,6.0,5.0,
15,T2,6.0,5.0,
19,B1,4.0,5.0,
19,T1,4.0,5.0,
19,B1,4.0,5.0,
19,B1,4.0,5.0,
19,B1,4.0,5.0,
25,T5,4.0,5.0,
26,T1,6.0,5.0,
75,T1,4.0,5.0,
95,T1,2.0,5.0,
95,T1,4.0,5.0,
1,B2,2.0,5.0,
1,T2,7.0,5.0,
1,T1,7.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T1,4.0,5.0,
1,T2,4.0,5.0,
1,T2,6.0,5.0,
1,T2,4.0,5.0,
2,T2,3.0,5.0,
2,T2,2.0,5.0,
2,T3,2.0,5.0,
2,T1,4.0,5.0,
3,T3,4.0,5.0,
3,B1,4.0,5.0,
3,T1,4.0,5.0,
3,T2,4.0,5.0,
4,B2,3.0,5.0,
4,T1,7.0,5.0,
4,T2,7.0,5.0,
4,C1,7.0,5.0,
4,C2,7.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
4,T5,4.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
5,T3,2.0,5.0,
5,T2,3.0,5.0,
5,T1,3.0,5.0,
5,T2,3.0,5.0,
5,T6,4.0,5.0,
5,S1,4.0,5.0,
5,S2,4.0,5.0,
6,T1,3.0,5.0,
6,T2,3.0,5.0,
6,T1,2.0,5.0,
6,T2,2.0,5.0,
6,B1,1.0,5.0,
6,B1,4.0,5.0,
8,T1,3.0,5.0,
8,T2,3.0,5.0,
8,T3,1.0,5.0,
8,T1,7.0,5.0,
8,T2,7.0,5.0,
8,T2,7.0,5.0,
8,T5,7.0,5.0,
9,B1,1.0,5.0,
9,A,8.0,5.0,
11,T1,3.0,5.0,
11,T2,3.0,5.0,
15,T2,2.0,5.0,
16,T1,4.0,5.0,
19,T3,5.0,5.0,
19,T1,4.0,5.0,
21,T2,3.0,5.0,
21,T2,3.0,5.0,
21,T1,4.0,5.0,
21,T2,4.0,5.0,
24,B2,4.0,5.0,
56,T2,1.0,5.0,
66,T1,2.0,5.0,
66,T3,2.0,5.0,
78,S2,4.0,5.0,
1,T2,4.0,5.0,
1,T2,4.0,5.0,
5,T1,2.0,5.0,
6,B1,4.0,5.0,
6,T1,4.0,5.0,
6,T2,4.0,5.0,
6,T1,4.0,5.0,
6,T3,5.0,5.0,
6,T1,4.0,5.0,
8,T3,4.0,5.0,
8,T3,4.0,5.0,
8,T1,4.0,5.0,
8,T2,4.0,5.0,
8,T1,4.0,5.0,
8,T2,4.0,5.0,
15,T1,4.0,5.0,
15,T1,4.0,5.0,
16,T1,4.0,5.0,
16,T2,4.0,5.0,
19,B1,4.0,5.0,
23,T2,4.0,5.0,
55,B1,4.0,5.0,
55,B2,4.0,5.0,
56,T1,4.0,5.0,
70,T1,4.0,5.0,
75,T1,2.0,5.0,
6,T1,3.0,5.0,
21,T1,3.0,5.0,
4,T1,6.0,5.0,
2,T1,4.0,5.0,
2,T2,4.0,5.0,
5,T3,4.0,5.0,
6,B1,4.0,5.0,
6,T1,2.0,5.0,
6,T2,2.0,5.0,
6,T1,2.0,5.0,
6,T2,2.0,5.0,
8,T3,2.0,5.0,
3,T2,4.0,5.0,
3,T3,4.0,5.0,
21,T2,3.0,5.0,
1,T3,2.0,5.0,
3,T1,4.0,5.0,
3,T2,4.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
5,T1,2.0,5.0,
5,T2,2.0,5.0,
8,T2,2.0,5.0,
16,T1,4.0,5.0,
62,T5,2.0,5.0,
99,T1,2.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T1,7.0,5.0,
1,T2,7.0,5.0,
1,T2,4.0,5.0,
1,T5,4.0,5.0,
4,T1,5.0,5.0,
4,T1,5.0,5.0,
4,T2,5.0,5.0,
4,S2,1.0,5.0,
4,T2,1.0,5.0,
4,T1,7.0,5.0,
4,T2,7.0,5.0,
4,T1,4.0,5.0,
4,S1,4.0,5.0,
4,S2,4.0,5.0,
16,T1,4.0,5.0,
16,T1,4.0,5.0,
16,T2,4.0,5.0,
16,T2,4.0,5.0,
16,T1,4.0,5.0,
16,T2,4.0,5.0,
18,T2,7.0,5.0,
53,T2,2.0,5.0,
68,B2,9.0,5.0,
1,T2,7.0,5.0,
1,T2,,5.0,
3,T2,4.0,5.0,
3,T3,4.0,5.0,
3,T1,4.0,5.0,
3,T2,4.0,5.0,
3,T1,4.0,5.0,
3,T2,4.0,5.0,
3,T3,4.0,5.0,
4,T1,7.0,5.0,
4,T2,7.0,5.0,
4,T2,7.0,5.0,
5,T2,4.0,5.0,
7,T1,,5.0,
7,T2,,5.0,
8,T1,4.0,5.0,
8,T2,4.0,5.0,
8,T1,4.0,5.0,
8,T2,4.0,5.0,
8,T2,7.0,5.0,
8,T5,7.0,5.0,
9,T1,,5.0,
9,T2,,5.0,
10,T1,4.0,5.0,
10,T2,4.0,5.0,
11,B1,4.0,5.0,
11,B2,4.0,5.0,
12,T2,,5.0,
21,T1,4.0,5.0,
21,T2,4.0,5.0,
68,B2,9.0,5.0,
1,T5,4.0,5.0,
1,T2,7.0,5.0,
1,B1,7.0,5.0,
1,B2,7.0,5.0,
1,T5,7.0,5.0,
1,T2,7.0,5.0,
1,T2,4.0,5.0,
1,T5,4.0,5.0,
1,T1,4.0,5.0,
1,T2,4.0,5.0,
1,T5,4.0,5.0,
1,T2,4.0,5.0,
1,T5,4.0,5.0,
